Symboltable log

TYP, VAR_TYPE, NAME, ADDRESS, Value
Variable, int, a, 0, 0


TYP, VAR_TYPE, NAME, ADDRESS, Value
Variable, int, a, 0, 0
Function, int, main, 1, 0


TYP, VAR_TYPE, NAME, ADDRESS, Value
Variable, int, a, 0, 0
Function, int, main, 1, 0
	Variable, int, #0, 1, 1


TYP, VAR_TYPE, NAME, ADDRESS, Value
Variable, int, a, 0, 0
Function, int, main, 1, 0
	Variable, int, #0, 1, 1
	Variable, int, #1, 2, 1


TYP, VAR_TYPE, NAME, ADDRESS, Value
Variable, int, a, 0, 0
Function, int, main, 1, 0
	Variable, int, #0, 1, 1
	Variable, int, #1, 2, 1
	Variable, int, #2, 3, 1


TYP, VAR_TYPE, NAME, ADDRESS, Value
Variable, int, a, 0, 0
Function, int, main, 1, 0
	Variable, int, #0, 1, 1
	Variable, int, #1, 2, 1
	Variable, int, #2, 3, 1
	Variable, int, #3, 4, 3


TYP, VAR_TYPE, NAME, ADDRESS, Value
Variable, int, a, 0, 0
Function, int, main, 1, 0
	Variable, int, #0, 1, 1
	Variable, int, #1, 2, 1
	Variable, int, #2, 3, 1
	Variable, int, #3, 4, 3
	Variable, int, #4, 5, 3


TYP, VAR_TYPE, NAME, ADDRESS, Value
Variable, int, a, 0, 0
Function, int, main, 1, 0
	Variable, int, #0, 1, 1
	Variable, int, #1, 2, 1
	Variable, int, #2, 3, 1
	Variable, int, #3, 4, 3
	Variable, int, #4, 5, 3
	Function, void, #l0, 6, 0


TYP, VAR_TYPE, NAME, ADDRESS, Value
Variable, int, a, 0, 0
Function, int, main, 1, 0
	Variable, int, #0, 1, 1
	Variable, int, #1, 2, 1
	Variable, int, #2, 3, 1
	Variable, int, #3, 4, 3
	Variable, int, #4, 5, 3
	Function, void, #l0, 6, 0
	Variable, int, #5, 6, 3


TYP, VAR_TYPE, NAME, ADDRESS, Value
Variable, int, a, 0, 0
Function, int, main, 1, 0
	Variable, int, #0, 1, 1
	Variable, int, #1, 2, 1
	Variable, int, #2, 3, 1
	Variable, int, #3, 4, 3
	Variable, int, #4, 5, 3
	Function, void, #l0, 6, 0
	Variable, int, #5, 6, 3
	Variable, int, #6, 7, 4


TYP, VAR_TYPE, NAME, ADDRESS, Value
Variable, int, a, 0, 0
Function, int, main, 1, 0
	Variable, int, #0, 1, 1
	Variable, int, #1, 2, 1
	Variable, int, #2, 3, 1
	Variable, int, #3, 4, 3
	Variable, int, #4, 5, 3
	Function, void, #l0, 6, 0
	Variable, int, #5, 6, 3
	Variable, int, #6, 7, 4
	Function, void, #l1, 8, 0


TYP, VAR_TYPE, NAME, ADDRESS, Value
Variable, int, a, 0, 0
Function, int, main, 1, 0
	Variable, int, #0, 1, 1
	Variable, int, #1, 2, 1
	Variable, int, #2, 3, 1
	Variable, int, #3, 4, 3
	Variable, int, #4, 5, 3
	Function, void, #l0, 6, 0
	Variable, int, #5, 6, 3
	Variable, int, #6, 7, 4
	Function, void, #l1, 8, 0
	Variable, int, #7, 8, 2


TYP, VAR_TYPE, NAME, ADDRESS, Value
Variable, int, a, 0, 0
Function, int, main, 1, 0
	Variable, int, #0, 1, 1
	Variable, int, #1, 2, 1
	Variable, int, #2, 3, 1
	Variable, int, #3, 4, 3
	Variable, int, #4, 5, 3
	Function, void, #l0, 6, 0
	Variable, int, #5, 6, 3
	Variable, int, #6, 7, 4
	Function, void, #l1, 8, 0
	Variable, int, #7, 8, 2
	Variable, int, #8, 9, 2


TYP, VAR_TYPE, NAME, ADDRESS, Value
Variable, int, a, 0, 0
Function, int, main, 1, 0
	Variable, int, #0, 1, 1
	Variable, int, #1, 2, 1
